forecast_date,target,target_end_date,location,type,quantile,value
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.01,8.337
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.025,20.842
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.05,30.35
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.1,49
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.15,63
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.2,73
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.25,88.417
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.3,102.433
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.35,117.45
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.4,131
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.45,150.483
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.5,163
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.55,178
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.6,195.533
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.65,216.55
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.7,240
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.75,267.583
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.8,308.6
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.85,351.617
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.9,415.633
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.95,507.6
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.975,666.95
2020-05-11,1 day ahead inc hosp,2020-05-12,13,quantile,0.99,707.643
2020-05-11,1 day ahead inc hosp,2020-05-12,13,point,NA,163
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.01,3
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.025,5
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.05,8.35
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.1,14
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.15,18
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.2,22.4
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.25,27.417
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.3,32
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.35,35
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.4,39
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.45,43
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.5,48
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.55,52.517
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.6,57
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.65,63.55
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.7,71
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.75,81
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.8,91
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.85,104.617
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.9,127.633
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.95,163.65
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.975,196.317
2020-05-11,1 day ahead inc death,2020-05-12,13,quantile,0.99,235.94
2020-05-11,1 day ahead inc death,2020-05-12,13,point,NA,48
2020-05-11,1 day ahead cum death,2020-05-12,13,quantile,0.01,1447
2020-05-11,1 day ahead cum death,2020-05-12,13,quantile,0.025,1449
2020-05-11,1 day ahead cum death,2020-05-12,13,quantile,0.05,1452.35
2020-05-11,1 day ahead cum death,2020-05-12,13,quantile,0.1,1458
2020-05-11,1 day ahead cum death,2020-05-12,13,quantile,0.15,1462
2020-05-11,1 day ahead cum death,2020-05-12,13,quantile,0.2,1466.4
2020-05-11,1 day ahead cum death,2020-05-12,13,quantile,0.25,1471.417
2020-05-11,1 day ahead cum death,2020-05-12,13,quantile,0.3,1476
2020-05-11,1 day ahead cum death,2020-05-12,13,quantile,0.35,1479
